wave_peak	wave_base	wave_top	note
450.02722	449.99061	450.05163	Cr 1
450.97292	450.95461	450.99732	Fe 1
451.27188	451.24747	451.32069	Ti 1
451.44271	451.43051	451.47932	Fe 1
451.53423	451.47932	451.57694	Fe 2
451.80269	451.77828	451.82099	Ti 1
452.51043	452.44332	452.55314	Fe 1
452.59058	452.55398	452.61499	Ti 1
452.69347	452.66907	452.71178	Ca 1
453.16327	453.13886	453.19378	Fe 1
453.76805	453.74364	453.78025	Fe 1
454.70079	454.62757	454.75570	Fe 1
454.78689	454.75028	454.83569	Fe 1
455.54949	455.52509	455.56779	Ti 1
455.86613	455.83562	455.89663	Cr 2
456.37863	456.29932	456.40914	Ti 2
456.65319	456.60438	456.66539	Fe 1
456.95825	456.90944	456.98876	Cr 1
457.19620	457.13519	457.25111	Ti 2
457.47076	457.44635	457.50127	Fe 1
457.63549	457.59889	457.67820	Fe 2
457.85514	457.81243	457.88565	Ca 1
458.38028	458.35588	458.42909	Fe 2
458.59381	458.55110	458.61211	Ca 1
458.81954	458.79514	458.84394	Cr 2
459.20352	459.17911	459.22792	Cr 2
459.60010	459.57570	459.62451	Fe 2
459.87499	459.85668	459.89329	Fe 1
460.07600	460.05159	460.16142	Cr 1
460.19833	460.16783	460.23494	Fe 1
460.29564	460.25294	460.32615	Fe 1
460.45457	460.43626	460.47287	Fe 1
460.76544	460.74104	460.81425	Fe 1
461.25988	461.22937	461.27818	Fe 1
461.61352	461.58301	461.63792	Cr 1
462.30906	462.28466	462.33347	Ti 1
463.40127	463.34637	463.43788	Cr 1
463.99916	463.98085	464.01746	Ti 1
465.21326	465.17665	465.26817	Cr 1
465.45726	465.39015	465.49996	Fe 1
465.71967	465.67696	465.74407	Ti 2
466.04294	466.01243	466.06734	Fe 1
466.15275	466.11005	466.17105	Fe 1
466.19546	466.17105	466.22596	Fe 1
466.33578	466.29917	466.36018	Cr 1
466.81164	466.78724	466.84215	Fe 1
467.51324	467.48884	467.53764	Fe 1
468.14187	468.11746	468.16627	Fe 1
469.70379	469.66718	469.72820	Cr 1
469.86816	469.77665	469.90477	Ti 2
470.54536	470.52095	470.56976	Fe 1
471.44218	471.35677	471.47269	Fe 1
471.57688	471.54637	471.62569	Ni 1
471.68621	471.66791	471.69232	Fe 1
471.83923	471.80873	471.89414	Cr 1
472.96739	472.94299	472.98569	Fe 1
473.58419	473.55369	473.62690	Fe 1
474.27974	474.24923	474.34075	Ti 1
474.57870	474.54819	474.60921	Fe 1
475.60981	475.59151	475.62812	Cr 1
475.75624	475.71353	475.78675	Fe 1
477.28069	477.25018	477.31119	Fe 1
477.60492	477.55611	477.61103	Fe 1
478.78247	478.75806	478.83738	Fe 1
479.03872	479.00211	479.05703	Cr 1
479.98336	479.95896	480.03217	Fe 1
480.06373	480.03323	480.08814	Fe 1
480.10034	480.08814	480.13085	Cr 1
480.25180	480.22129	480.26400	Fe 1
480.28948	480.26508	480.31999	Fe 1
480.50913	480.47252	480.53353	Ti 2
480.69716	480.65445	480.72766	Ni 1
482.04054	481.99783	482.06495	Ti 1
482.93617	482.91786	483.00938	Cr 1
483.85739	483.82689	483.89400	Fe 1
484.27971	484.23700	484.29191	Fe 1
484.31631	484.29191	484.34072	Fe 1
484.40647	484.36986	484.47358	Fe 1
485.25591	485.22540	485.28641	Ni 1
485.97438	485.93778	486.00489	Fe 1
486.25502	486.23062	486.28553	Fe 1
486.56158	486.52497	486.59208	Ti 2
487.28607	487.26166	487.30437	Fe 1
487.34254	487.29983	487.37305	Ni 1
487.58659	487.56829	487.61099	Fe 1
487.63991	487.61551	487.70092	Cr 2
487.81844	487.78183	487.88555	Fe 1
488.21502	488.19061	488.25163	Fe 1
488.86008	488.79907	488.87838	Fe 1
488.90279	488.87838	488.94549	Fe 1
489.28884	489.25223	489.31935	Fe 1
490.33038	490.28158	490.36699	Fe 1
490.44198	490.39927	490.47859	Ni 1
490.51341	490.47070	490.56222	Fe 1
491.39803	491.37973	491.42244	Ni 1
491.72138	491.68477	491.76408	Fe 1
491.83729	491.81899	491.85560	Ni 1
492.05271	491.99780	492.14423	Fe 1
492.39438	492.34557	492.44319	Fe 2
492.74022	492.70361	492.76462	Fe 1
493.32788	493.26686	493.35838	Fe 1
493.58413	493.54142	493.60854	Ni 1
493.63294	493.60854	493.66955	Cr 1
493.82208	493.78547	493.85259	Fe 1
493.88309	493.85259	493.90140	Fe 1
493.92378	493.90548	493.94208	Fe 1
494.24917	494.21256	494.29798	Cr 1
494.76167	494.71897	494.78608	Si 1
496.19329	496.16279	496.21160	Fe 1
496.25648	496.21377	496.28699	Fe 1
496.78729	496.70188	496.81780	Fe 1
496.85828	496.81558	496.90709	Ti 1
497.05575	497.02524	497.09236	Fe 1
497.96254	497.93813	497.98694	Fe 1
498.17228	498.09906	498.20279	Ti 1
498.25160	498.20279	498.26990	Fe 1
498.46281	498.43840	498.49331	Fe 1
498.52615	498.49565	498.53836	Fe 1
498.55432	498.53602	498.57872	Fe 1
498.62143	498.57872	498.65803	Fe 1
499.27422	499.25592	499.30472	Fe 1
499.33523	499.30472	499.34743	Fe 2
499.37183	499.34743	499.39013	Fe 1
499.41454	499.39013	499.45114	Fe 1
499.55727	499.50846	499.59387	Fe 1
499.94775	499.92334	499.99046	Ti 1
500.18570	500.13078	500.22840	Fe 1
500.40534	500.38704	500.46025	Fe 1
501.09478	501.05818	501.12529	Ni 1
501.20818	501.14108	501.23869	Fe 1
501.49137	501.45476	501.56458	Fe 1
502.32114	502.30894	502.33944	Fe 1
502.77610	502.75170	502.79440	Fe 1
502.81271	502.79440	502.86761	Fe 1
503.53871	503.50820	503.56311	Ni 1
503.84375	503.80714	503.88645	Ti 1
503.92577	503.88306	503.96238	Fe 1
504.42333	504.38672	504.45993	Fe 1
504.84096	504.81655	504.86536	Fe 1
505.79886	505.76835	505.82936	Ni 1
506.40610	506.38170	506.43050	Ti 1
507.47670	507.42789	507.50721	Fe 1
508.33088	508.26987	508.36139	Fe 1
508.40718	508.38887	508.43768	Ni 1
508.81593	508.77323	508.83424	Fe 1
508.89830	508.87389	508.91660	Ni 1
509.44131	509.41691	509.47182	Ni 1
509.69756	509.64875	509.72807	Fe 1
510.29549	510.26498	510.33820	Ni 1
511.03984	510.99713	511.10085	Fe 1
511.34168	511.32338	511.37829	Ti 1
511.54014	511.48523	511.56455	Ni 1
512.04045	512.00384	512.10756	Ti 1
512.16247	512.10756	512.19298	Fe 1
513.03495	512.99835	513.09597	Ni 1
514.17589	514.14538	514.20640	Fe 1
514.81652	514.77381	514.85313	Fe 2
515.08498	515.03617	515.12159	Fe 1
515.51207	515.46936	515.53647	Ni 1
515.57308	515.53647	515.62189	Ni 1
519.14842	519.06300	519.17892	Fe 1
519.29485	519.27044	519.32536	Ti 1
519.54500	519.52060	519.57551	Fe 1
519.75854	519.72804	519.78295	Fe 1
519.87447	519.83176	519.91108	Fe 1
520.60662	520.53340	520.67984	Cr 1
520.65767	520.64546	520.68817	Cr 1
520.84679	520.80409	520.93830	Cr 1
521.15573	521.12523	521.18624	Ti 2
521.63163	521.58892	521.67434	Fe 1
521.74145	521.69875	521.76586	Fe 1
522.43700	522.38209	522.46751	Ti 1
522.55292	522.52242	522.58953	Fe 1
523.09800	523.07360	523.11630	Ti 1
523.46201	523.42540	523.49252	Fe 2
523.73249	523.67148	523.76909	Cr 2
524.14735	524.11684	524.17175	Cr 1
524.25106	524.21446	524.28767	Fe 1
524.33647	524.28767	524.35477	Cr 1
524.37720	524.35280	524.41381	Fe 1
525.30041	525.25160	525.32481	Fe 1
525.34921	525.32481	525.42852	Fe 1
525.98980	525.95320	526.01420	Ti 1
526.03674	526.00014	526.10386	Ca 1
526.16672	526.11792	526.19113	Ca 1
526.21978	526.19538	526.26249	Ca 1
526.32960	526.29300	526.36011	Fe 1
526.65297	526.61636	526.70178	Fe 1
526.72008	526.70178	526.76279	Fe 1
526.95193	526.87872	526.99464	Fe 1
527.52111	527.47230	527.55162	Cr 1
528.17829	528.08677	528.21489	Fe 1
528.36132	528.28811	528.39183	Fe 1
528.85553	528.80672	528.89213	Fe 1
529.25985	529.22935	529.28425	Fe 1
529.66699	529.62429	529.70360	Cr 1
529.73411	529.70360	529.77072	Cr 1
529.83173	529.77072	529.93545	Cr 1
530.07578	530.03917	530.14899	Cr 1
530.22831	530.16120	530.29542	Fe 1
530.41291	530.37630	530.44341	Cr 1
